player_name,season,team,position,age,games_played,salary,salary_formatted,salary_rank,pg_points,pg_rebounds,pg_assists,pg_steals,pg_blocks,PER,TS_pct,usage_pct,WS,VORP,BPM,OBPM,DBPM,points_per_million,salary_per_WS,salary_per_VORP,value_score,value_category,season_year
Tyus Jones,2024-25,PHO,PG,28.0,81.0,3003427,"$3,003,427",318,10.2,2.4,5.3,0.9,0.1,14.5,0.585,16.2,4.4,1.1,0.1,1.4,-1.3,3.4,682597.0,2730388.0,36.62,Fair Value,2024
Brandin Podziemski,2024-25,GSW,SG,21.0,64.0,3519960,"$3,519,960",283,11.7,5.1,3.4,1.1,0.2,14.4,0.557,18.3,4.2,1.2,0.7,-0.1,0.8,3.32,838086.0,2933300.0,34.09,Fair Value,2024
Sandro Mamukelashvili,2024-25,SAS,PF,25.0,61.0,2162606,"$2,162,606",376,6.3,3.1,0.8,0.4,0.3,19.7,0.628,20.8,2.2,0.7,2.3,3.3,-1.0,2.91,983003.0,3089437.0,32.37,Fair Value,2024
Josh Giddey,2024-25,CHI,PG,22.0,70.0,8352367,"$8,352,367",189,14.6,8.1,7.2,1.2,0.6,18.1,0.57,21.7,5.3,2.7,3.0,1.9,1.1,1.75,1575918.0,3093469.0,32.33,Good Value,2024
Evan Mobley,2024-25,CLE,PF,23.0,71.0,11227657,"$11,227,657",148,18.5,9.3,3.2,0.9,1.6,22.3,0.633,23.2,9.0,3.6,4.6,3.1,1.5,1.65,1247517.0,3118794.0,32.06,Good Value,2024
Ryan Rollins,2024-25,MIL,PG,22.0,56.0,949888,"$949,888",443,6.2,1.9,1.9,0.8,0.3,14.0,0.6,18.4,1.7,0.3,-0.5,-1.4,0.9,6.53,558758.0,3166293.0,31.58,Fair Value,2024
Ivica Zubac,2024-25,LAC,C,27.0,80.0,11743210,"$11,743,210",142,16.8,12.6,2.7,0.7,1.1,22.3,0.641,19.5,11.7,3.4,3.1,2.3,0.8,1.43,1003693.0,3453885.0,28.95,Good Value,2024
Nikola Jović,2024-25,MIA,PF,21.0,46.0,2464200,"$2,464,200",355,10.7,3.9,2.8,0.8,0.3,13.8,0.595,18.3,2.5,0.7,0.3,-0.3,0.6,4.34,985680.0,3520286.0,28.41,Fair Value,2024
Quentin Grimes,2024-25,2TM,SG,24.0,75.0,4296682,"$4,296,682",264,14.6,4.3,3.0,1.0,0.3,15.9,0.595,22.8,3.4,1.2,0.4,1.3,-0.9,3.4,1263730.0,3580568.0,27.93,Fair Value,2024
Cason Wallace,2024-25,OKC,SG,21.0,68.0,5555920,"$5,555,920",231,8.4,3.4,2.5,1.8,0.5,12.3,0.562,12.8,5.2,1.5,1.0,-1.5,2.6,1.51,1068446.0,3703947.0,27.0,Fair Value,2024
Jared Butler,2024-25,WAS,PG,24.0,32.0,1115697,"$1,115,697",431,6.9,1.3,2.6,0.4,0.2,17.7,0.562,26.1,0.6,0.3,1.0,2.2,-1.2,6.18,1859495.0,3718990.0,26.89,Fair Value,2024
Jared Butler,2024-25,2TM,SG,24.0,60.0,1115697,"$1,115,697",431,9.0,1.8,3.7,0.7,0.2,15.6,0.549,23.6,1.4,0.3,-1.0,0.5,-1.5,8.07,796926.0,3718990.0,26.89,Fair Value,2024
Malik Beasley,2024-25,DET,SG,28.0,82.0,6000000,"$6,000,000",223,16.3,2.6,1.7,0.9,0.1,14.4,0.59,22.5,4.7,1.6,0.8,2.0,-1.2,2.72,1276596.0,3750000.0,26.67,Fair Value,2024
Jalen Johnson,2024-25,ATL,SF,23.0,36.0,4510905,"$4,510,905",258,18.9,10.0,5.0,1.6,1.0,17.3,0.569,22.5,2.4,1.2,1.8,0.5,1.4,4.19,1879544.0,3759088.0,26.6,Fair Value,2024
Cade Cunningham,2024-25,DET,PG,23.0,70.0,13940809,"$13,940,809",118,26.1,6.1,9.1,1.0,0.8,20.6,0.565,33.2,5.9,3.7,3.9,3.8,0.1,1.87,2362849.0,3767786.0,26.54,Good Value,2024
Victor Wembanyama,2024-25,SAS,C,21.0,46.0,12768664,"$12,768,664",129,24.3,11.0,3.7,1.1,3.8,24.2,0.594,30.4,3.8,3.3,6.5,3.6,2.9,1.9,3360175.0,3869292.0,25.84,Good Value,2024
Shai Gilgeous-Alexander,2024-25,OKC,PG,26.0,76.0,35859950,"$35,859,950",34,32.7,5.0,6.4,1.7,1.0,30.7,0.637,34.8,16.7,8.9,11.5,8.9,2.6,0.91,2147302.0,4029208.0,24.82,Star - Excellent Value,2024
Guerschon Yabusele,2024-25,PHI,C,29.0,70.0,2087519,"$2,087,519",387,11.0,5.6,2.1,0.8,0.3,14.7,0.616,16.3,3.9,0.5,-1.0,0.1,-1.1,5.27,535261.0,4175038.0,23.95,Fair Value,2024
Jake LaRavia,2024-25,2TM,PF,23.0,66.0,3352680,"$3,352,680",289,6.9,3.9,2.4,0.9,0.3,12.6,0.591,14.4,2.9,0.8,0.2,-0.8,1.1,2.06,1156097.0,4190850.0,23.86,Fair Value,2024
Jake LaRavia,2024-25,MEM,PF,23.0,47.0,3352680,"$3,352,680",289,7.3,4.4,2.8,0.9,0.4,13.5,0.605,14.5,2.4,0.8,1.3,-0.2,1.5,2.18,1396950.0,4190850.0,23.86,Fair Value,2024
Kris Dunn,2024-25,LAC,PG,30.0,74.0,5168000,"$5,168,000",239,6.4,3.4,2.8,1.7,0.4,11.3,0.531,12.7,4.0,1.2,0.6,-2.8,3.4,1.24,1292000.0,4306667.0,23.22,Fair Value,2024
Scottie Barnes,2024-25,TOR,PF,23.0,65.0,10130980,"$10,130,980",162,19.3,7.7,5.8,1.4,1.0,17.8,0.523,27.0,3.5,2.3,2.4,1.5,0.9,1.91,2894566.0,4404774.0,22.7,Good Value,2024
Jaylen Clark,2024-25,MIN,SG,23.0,40.0,907334,"$907,334",447,4.1,1.3,0.7,0.9,0.1,12.0,0.598,12.0,1.6,0.2,-0.2,-2.9,2.7,4.52,567084.0,4536670.0,22.04,Fair Value,2024
Thomas Bryant,2024-25,IND,C,27.0,56.0,2800834,"$2,800,834",331,6.9,3.9,0.9,0.5,0.6,17.4,0.613,17.6,2.6,0.6,0.7,0.9,-0.2,2.46,1077244.0,4668057.0,21.42,Fair Value,2024
Thomas Bryant,2024-25,2TM,C,27.0,66.0,2800834,"$2,800,834",331,6.5,3.8,0.8,0.4,0.6,17.2,0.614,17.1,3.1,0.6,0.6,0.7,0.0,2.32,903495.0,4668057.0,21.42,Fair Value,2024
Nicolas Batum,2024-25,LAC,PF,36.0,78.0,4668000,"$4,668,000",254,4.0,2.8,1.1,0.7,0.5,10.3,0.633,9.0,3.5,1.0,0.8,-1.2,2.0,0.86,1333714.0,4668000.0,21.42,Fair Value,2024
Jaxson Hayes,2024-25,LAL,C,24.0,56.0,2463946,"$2,463,946",356,6.8,4.8,1.0,0.6,0.9,15.8,0.72,12.4,3.7,0.5,-0.3,-1.6,1.3,2.76,665931.0,4927892.0,20.29,Fair Value,2024
Austin Reaves,2024-25,LAL,SG,26.0,73.0,12976362,"$12,976,362",123,20.2,4.5,5.8,1.1,0.3,18.1,0.616,23.7,7.6,2.6,1.9,2.4,-0.5,1.56,1707416.0,4990908.0,20.04,Good Value,2024
Josh Hart,2024-25,NYK,SG,29.0,77.0,18144000,"$18,144,000",95,13.6,9.6,5.9,1.5,0.4,16.5,0.611,15.3,9.2,3.6,2.8,1.1,1.8,0.75,1972174.0,5040000.0,19.84,Good Value,2024
Nikola Jokić,2024-25,DEN,C,29.0,70.0,51415938,"$51,415,938",2,29.6,12.7,10.2,1.8,0.6,32.0,0.663,29.5,16.4,9.8,13.3,9.9,3.3,0.58,3135118.0,5246524.0,19.06,Star - Excellent Value,2024
Quentin Grimes,2024-25,PHI,SG,24.0,28.0,4296682,"$4,296,682",264,21.9,5.2,4.5,1.5,0.4,18.8,0.592,27.5,1.6,0.8,1.2,2.7,-1.5,5.1,2685426.0,5370852.0,18.62,Fair Value,2024
Nickeil Alexander-Walker,2024-25,MIN,SG,26.0,82.0,4312500,"$4,312,500",261,9.4,3.2,2.7,0.6,0.4,11.6,0.579,16.0,4.3,0.8,-0.4,-0.8,0.4,2.18,1002907.0,5390625.0,18.55,Fair Value,2024
Derrick White,2024-25,BOS,SG,30.0,76.0,19821429,"$19,821,429",87,16.4,4.5,4.8,0.9,1.1,16.6,0.606,19.8,8.5,3.6,3.5,2.7,0.8,0.83,2331933.0,5505952.0,18.16,Good Value,2024
Paolo Banchero,2024-25,ORL,PF,22.0,46.0,12160800,"$12,160,800",139,25.9,7.5,4.8,0.8,0.6,20.0,0.551,33.6,3.5,2.2,3.5,3.4,0.2,2.13,3474514.0,5527636.0,18.09,Good Value,2024
Jarrett Allen,2024-25,CLE,C,26.0,82.0,20000000,"$20,000,000",84,13.5,9.7,1.9,0.9,0.9,22.1,0.724,15.9,11.6,3.6,4.2,3.0,1.2,0.68,1724138.0,5555556.0,18.0,Good Value,2024
Julian Champagnie,2024-25,SAS,SF,23.0,82.0,2224662,"$2,224,662",370,9.9,3.9,1.4,0.7,0.4,12.2,0.577,17.2,2.5,0.4,-1.3,-0.3,-0.9,4.45,889865.0,5561655.0,17.98,Fair Value,2024
Goga Bitadze,2024-25,ORL,C,25.0,70.0,9057971,"$9,057,971",180,7.2,6.6,2.0,0.7,1.4,19.2,0.631,14.3,5.8,1.6,2.5,-0.3,2.8,0.79,1561719.0,5661232.0,17.66,Fair Value,2024
Day'Ron Sharpe,2024-25,BRK,C,23.0,50.0,3989122,"$3,989,122",274,7.9,6.6,1.8,0.8,0.8,19.7,0.568,19.9,2.7,0.7,0.9,0.0,0.9,1.98,1477453.0,5698746.0,17.55,Fair Value,2024
Miles McBride,2024-25,NYK,SG,24.0,64.0,4710144,"$4,710,144",252,9.5,2.5,2.9,1.0,0.3,12.6,0.531,16.8,3.2,0.8,0.0,-0.4,0.4,2.02,1471920.0,5887680.0,16.98,Fair Value,2024
Cameron Payne,2024-25,NYK,PG,30.0,72.0,3003427,"$3,003,427",318,6.9,1.4,2.8,0.5,0.2,13.8,0.532,20.8,2.3,0.5,-0.2,-0.1,-0.2,2.3,1305838.0,6006854.0,16.65,Fair Value,2024
Kel'el Ware,2024-25,MIA,C,20.0,64.0,4231800,"$4,231,800",265,9.3,7.4,0.9,0.6,1.1,17.4,0.603,17.2,4.1,0.7,-0.1,-0.7,0.6,2.2,1032146.0,6045429.0,16.54,Fair Value,2024
Alex Caruso,2024-25,OKC,SG,30.0,54.0,9890000,"$9,890,000",166,7.1,2.9,2.5,1.6,0.6,15.9,0.568,15.2,3.9,1.6,4.0,0.1,3.9,0.72,2535897.0,6181250.0,16.18,Fair Value,2024
Alec Burks,2024-25,MIA,SG,33.0,49.0,3303771,"$3,303,771",292,7.3,2.5,1.1,0.6,0.1,12.8,0.608,16.5,1.8,0.5,0.3,0.0,0.3,2.21,1835428.0,6607542.0,15.13,Fair Value,2024
Mason Plumlee,2024-25,PHO,C,34.0,74.0,3303771,"$3,303,771",292,4.5,6.1,1.8,0.4,0.6,14.8,0.645,10.8,3.7,0.5,-0.6,-1.5,1.0,1.36,892911.0,6607542.0,15.13,Fair Value,2024
Russell Westbrook,2024-25,DEN,PG,36.0,75.0,3303771,"$3,303,771",292,13.3,4.9,6.1,1.4,0.5,14.3,0.532,23.8,1.9,0.5,-1.1,-0.9,-0.2,4.03,1738827.0,6607542.0,15.13,Fair Value,2024
Chris Paul,2024-25,SAS,PG,39.0,82.0,10983000,"$10,983,000",155,8.8,3.6,7.4,1.3,0.3,14.7,0.58,14.0,5.7,1.6,0.8,0.3,0.5,0.8,1926842.0,6864375.0,14.57,Fair Value,2024
Ausar Thompson,2024-25,DET,SF,22.0,59.0,8376291,"$8,376,291",188,10.1,5.1,2.3,1.7,0.7,17.2,0.568,19.1,3.8,1.2,1.7,-0.8,2.5,1.21,2204287.0,6980242.0,14.33,Fair Value,2024
