season,team,roster_count,total_payroll,avg_salary,max_salary,min_salary,avg_ppg,avg_rpg,avg_apg,avg_spg,avg_bpg,avg_fg_pct,avg_3pt_pct,avg_ts_pct,avg_efg_pct,avg_PER,total_WS,avg_WS,total_VORP,avg_VORP,avg_BPM,avg_OBPM,avg_DBPM,team_total_points,team_total_rebounds,team_total_assists,payroll_per_WS,payroll_per_VORP,season_year
2024-25,SAS,18,183430845.0,10190603.0,34848340,1253154,9.3,3.71,2.46,0.68,0.52,0.484,0.353,0.582,0.556,15.04,34.7,1.93,7.4,0.41,-0.8,-0.42,-0.37,9322.0,3565.0,2341.0,5286191.0,24787952.0,2024
2024-25,POR,17,163499171.0,11678512.0,34005126,1891857,9.06,3.91,1.9,0.77,0.52,0.45,0.3,0.541,0.511,12.91,35.1,2.06,6.8,0.4,-1.46,-1.68,0.24,9077.0,3652.0,1942.0,4658096.0,24043996.0,2024
2024-25,TOR,20,163473671.0,9081871.0,32500000,135120,9.93,4.22,2.48,0.73,0.38,0.456,0.333,0.552,0.519,13.42,32.1,1.6,4.9,0.25,-1.41,-1.41,-0.0,9024.0,3663.0,2333.0,5092638.0,33361974.0,2024
2024-25,PHI,22,185261411.0,10897730.0,51415938,79804,10.97,3.9,2.39,0.89,0.48,0.456,0.317,0.564,0.531,13.85,26.7,1.21,2.9,0.13,-1.77,-0.91,-0.86,8802.0,3126.0,1860.0,6938630.0,63883245.0,2024
2024-25,BRK,19,124910047.0,9608465.0,39256083,959732,10.4,3.76,2.65,0.76,0.39,0.437,0.336,0.549,0.516,12.88,26.7,1.41,2.6,0.14,-1.68,-1.32,-0.37,8395.0,3293.0,2000.0,4678279.0,48042326.0,2024
2024-25,CHO,22,170178278.0,10636142.0,35147000,1314865,10.0,4.25,2.35,0.74,0.44,0.436,0.3,0.535,0.502,12.6,20.5,0.93,0.4,0.02,-2.33,-1.93,-0.4,8522.0,3670.0,1940.0,8301379.0,425445695.0,2024
2024-25,NOP,21,190347949.0,12689863.0,36725670,652671,10.95,4.32,2.87,0.9,0.5,0.456,0.31,0.545,0.514,13.6,20.6,0.98,0.3,0.01,-2.34,-1.44,-0.92,8842.0,3498.0,2073.0,9240192.0,634493163.0,2024
2024-25,UTA,19,145182874.0,9678858.0,42176400,2512680,9.86,4.29,2.12,0.66,0.4,0.453,0.329,0.554,0.525,12.58,20.0,1.05,0.2,0.01,-2.42,-1.46,-0.95,9161.0,3709.0,2091.0,7259144.0,725914370.0,2024
2024-25,3TM,4,5895013.0,1965004.0,2847240,314053,6.18,2.78,1.98,0.43,0.23,0.436,0.281,0.541,0.497,12.05,4.5,1.12,-0.4,-0.1,-3.25,-2.4,-0.85,1335.0,448.0,478.0,1310003.0,,2024
2024-25,WAS,23,190824794.0,11224988.0,31000000,175480,9.01,3.73,2.1,0.67,0.39,0.454,0.301,0.55,0.517,13.36,13.1,0.57,-3.8,-0.17,-2.64,-1.59,-1.07,8856.0,3583.0,2057.0,14566778.0,,2024
2023-24,BOS,16,186793533.0,12452902.0,37620347,641035,9.66,3.94,2.11,0.59,0.59,0.49,0.386,0.595,0.565,15.91,67.1,4.19,22.1,1.38,0.91,0.04,0.89,9845.0,3768.0,2191.0,2783808.0,8452196.0,2023
2023-24,OKC,20,167803999.0,8831789.0,33386850,766095,7.44,2.78,1.76,0.51,0.41,0.466,0.364,0.578,0.552,13.39,59.2,2.96,18.2,0.91,-0.7,-0.8,0.08,9833.0,3437.0,2215.0,2834527.0,9220000.0,2023
2023-24,MIN,18,167098083.0,11935577.0,41000000,687465,7.92,3.06,1.87,0.59,0.39,0.478,0.317,0.577,0.551,15.07,57.3,3.18,17.0,0.94,0.97,-0.48,1.44,9264.0,3577.0,2184.0,2916197.0,9829299.0,2023
2023-24,DEN,17,143622437.0,11047880.0,47607350,1119563,8.04,3.15,2.08,0.52,0.41,0.479,0.353,0.576,0.553,14.02,54.4,3.2,15.7,0.92,-0.85,-1.08,0.21,9418.0,3644.0,2415.0,2640118.0,9147926.0,2023
2023-24,NOP,15,150468442.0,12539037.0,35802469,1836096,9.88,3.75,2.33,0.73,0.37,0.462,0.353,0.57,0.537,13.99,52.1,3.47,15.3,1.02,-0.26,-0.57,0.31,9414.0,3590.0,2204.0,2888070.0,9834539.0,2023
2023-24,NYK,19,219433860.0,10971693.0,26943840,1341538,9.74,3.78,1.84,0.59,0.35,0.434,0.303,0.521,0.496,12.05,52.4,2.62,15.1,0.76,-1.7,-1.54,-0.14,9507.0,3741.0,2013.0,4187669.0,14532044.0,2023
2023-24,PHO,19,202167200.0,11892188.0,47649433,1927896,8.48,3.47,1.97,0.59,0.45,0.484,0.342,0.574,0.546,13.72,49.6,2.61,13.7,0.72,-0.73,-0.9,0.16,9516.0,3608.0,2214.0,4075952.0,14756730.0,2023
2023-24,LAC,16,190622056.0,15885171.0,45640084,2306400,9.21,3.65,2.09,0.66,0.42,0.47,0.314,0.562,0.531,14.3,50.0,3.12,13.6,0.85,-0.95,-0.66,-0.3,9439.0,3499.0,2084.0,3812441.0,14016328.0,2023
2023-24,GSW,16,211249505.0,14083300.0,51915615,1029483,9.15,3.76,2.41,0.56,0.38,0.478,0.305,0.574,0.549,13.99,47.4,2.96,13.4,0.84,-0.4,-0.48,0.06,9650.0,3819.0,2396.0,4456741.0,15764888.0,2023
2023-24,IND,17,161920641.0,10120040.0,37893408,1100000,10.25,3.45,2.48,0.65,0.44,0.499,0.326,0.593,0.569,14.86,47.2,2.78,13.2,0.78,-0.49,0.17,-0.66,10070.0,3381.0,2510.0,3430522.0,12266715.0,2023
2023-24,MIL,18,199533126.0,12470820.0,45640084,1119563,8.32,3.14,1.98,0.53,0.35,0.453,0.321,0.559,0.533,11.76,48.4,2.69,12.9,0.72,-2.13,-1.84,-0.27,9747.0,3618.0,2173.0,4122585.0,15467684.0,2023
2023-24,CLE,16,174249521.0,13403809.0,34005250,1997238,9.85,3.77,2.44,0.64,0.41,0.475,0.308,0.57,0.552,13.32,48.2,3.01,12.8,0.8,-0.96,-1.06,0.09,9229.0,3545.0,2296.0,3615135.0,13613244.0,2023
2023-24,SAC,17,147925896.0,9245369.0,32600060,447931,8.11,3.21,1.95,0.55,0.32,0.47,0.292,0.56,0.544,12.58,45.6,2.68,12.7,0.75,-1.45,-1.68,0.22,9536.0,3600.0,2317.0,3243989.0,11647708.0,2023
2023-24,PHI,21,216899613.0,13556226.0,47607350,1930681,9.33,3.4,2.19,0.75,0.46,0.457,0.361,0.572,0.537,14.49,48.8,2.32,12.6,0.6,0.0,-0.42,0.41,9379.0,3499.0,2036.0,4444664.0,17214255.0,2023
2023-24,DAL,19,167267376.0,11947670.0,40064220,1719864,9.1,3.63,1.97,0.56,0.47,0.486,0.327,0.577,0.554,13.45,46.1,2.43,12.5,0.66,-1.16,-0.87,-0.3,9616.0,3500.0,2098.0,3628360.0,13381390.0,2023
2023-24,LAL,17,186208509.0,11638032.0,47607350,850000,8.67,3.29,2.15,0.64,0.41,0.452,0.295,0.543,0.509,11.16,43.4,2.55,11.8,0.69,-2.88,-2.75,-0.14,9647.0,3526.0,2329.0,4290519.0,15780382.0,2023
2023-24,ORL,17,117914252.0,8422447.0,17400000,2000000,8.01,3.18,1.82,0.62,0.41,0.455,0.323,0.559,0.534,12.72,47.5,2.79,11.7,0.69,-0.54,-1.25,0.73,9054.0,3467.0,2022.0,2482405.0,10078141.0,2023
2023-24,MIA,18,204049028.0,14574931.0,45183960,1801769,9.92,3.7,2.42,0.72,0.3,0.451,0.359,0.568,0.532,13.64,46.5,2.58,11.5,0.64,-0.47,-0.94,0.49,8978.0,3447.0,2094.0,4388151.0,17743394.0,2023
2023-24,HOU,17,128450336.0,10704195.0,40806300,2346614,8.83,3.8,1.84,0.64,0.37,0.48,0.304,0.573,0.543,14.9,44.6,2.62,11.0,0.65,0.08,-0.39,0.48,9375.0,3727.0,2035.0,2880052.0,11677303.0,2023
2023-24,2TM,66,540837204.0,9324779.0,37893408,64343,7.7,3.16,1.93,0.63,0.37,0.449,0.333,0.55,0.522,12.21,110.8,1.65,9.8,0.15,-1.99,-1.86,-0.13,29382.0,11570.0,7507.0,4881202.0,55187470.0,2023
