player_name,season,team,position,age,games_played,games_started,games_started_percentage,awards,salary,salary_formatted,salary_rank,mpg,ppg,rpg,apg,spg,bpg,tov_pg,pf_pg,fg_pct,three_pt_pct,ft_pct,efg_pct,three_pm_pg,three_pa_pg,total_points,total_rebounds,total_assists,total_steals,total_blocks,PER,TS_pct,usage_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,points_per_million,salary_per_win_share,salary_per_vorp,salary_tier,scoring_tier,impact_tier,is_mvp_candidate,is_allstar,is_all_nba_first,is_dpoy_candidate,season_year
Trey Jemison,2024-25,NOP,C,25.0,16.0,0.0,0.0,,,,,10.4,2.4,2.8,0.6,0.4,0.4,0.6,1.7,0.469,,0.381,0.469,0.0,0.0,38.0,44.0,10.0,7.0,6.0,9.4,0.461,13.0,13.9,14.7,14.3,8.0,2.0,3.5,19.5,-0.1,0.1,0.0,0.009,-5.8,-0.4,-6.2,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Patty Mills,2024-25,UTA,PG,36.0,17.0,0.0,0.0,,,,,15.3,4.4,1.2,1.2,0.7,0.2,0.9,0.7,0.342,0.298,1.0,0.454,1.0,3.4,74.0,21.0,21.0,12.0,3.0,6.2,0.473,15.1,1.3,7.4,4.4,11.0,2.2,1.1,17.0,-0.3,0.1,-0.2,-0.04,-4.5,0.0,-4.4,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Christian Koloko,2024-25,LAL,C,24.0,37.0,0.0,0.0,,,,,9.2,2.4,2.5,0.4,0.2,0.4,0.3,1.2,0.606,0.0,0.714,0.606,0.0,0.1,90.0,92.0,16.0,8.0,16.0,13.0,0.624,10.8,11.9,18.2,15.1,6.4,1.2,4.4,14.3,0.5,0.4,0.9,0.13,-3.0,0.2,-2.8,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Marvin Bagley III,2024-25,2TM,PF,25.0,31.0,2.0,6.5,,,,,8.5,4.4,2.7,0.4,0.3,0.3,0.4,0.6,0.519,0.158,0.657,0.533,0.1,0.6,136.0,84.0,11.0,9.0,8.0,18.4,0.56,20.9,15.0,18.2,16.6,6.5,1.6,2.7,9.0,0.4,0.2,0.6,0.108,0.4,-1.6,-1.2,0.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Kevon Looney,2024-25,GSW,C,28.0,76.0,6.0,7.9,,,,,15.0,4.5,6.1,1.6,0.6,0.5,0.5,2.0,0.514,0.4,0.566,0.518,0.0,0.1,344.0,462.0,118.0,46.0,37.0,17.0,0.535,13.3,16.9,26.9,21.8,14.3,2.0,3.1,10.8,2.2,2.1,4.3,0.182,-1.0,1.3,0.3,0.7,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Mo Bamba,2024-25,LAC,C,26.0,28.0,2.0,7.1,,,,,12.6,4.6,4.3,0.6,0.3,1.0,0.7,1.8,0.466,0.3,0.68,0.539,0.5,1.8,128.0,120.0,16.0,9.0,28.0,14.5,0.561,16.5,8.5,29.8,19.3,6.3,1.3,7.9,14.3,0.1,0.8,0.9,0.124,-2.6,2.4,-0.2,0.2,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Jock Landale,2024-25,HOU,C,29.0,42.0,3.0,7.1,,,,,11.9,4.8,3.3,0.9,0.3,0.2,0.5,1.2,0.533,0.423,0.675,0.569,0.3,0.6,200.0,137.0,37.0,13.0,10.0,16.0,0.59,15.7,11.7,17.6,14.6,10.3,1.3,1.8,11.0,1.0,0.7,1.7,0.159,0.0,0.4,0.4,0.3,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Mason Jones,2024-25,SAC,SG,26.0,10.0,0.0,0.0,,,,,4.5,2.3,0.9,1.1,0.0,0.1,0.1,0.3,0.5,0.125,0.8,0.528,0.1,0.8,23.0,9.0,11.0,0.0,1.0,20.6,0.569,20.3,5.0,17.5,11.2,35.6,0.0,2.2,4.7,0.2,0.0,0.2,0.198,3.5,-0.6,2.9,0.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Kai Jones,2024-25,LAC,C,24.0,28.0,0.0,0.0,,,,,7.4,2.2,1.6,0.4,0.2,0.5,0.4,0.8,0.722,0.0,0.75,0.722,0.0,0.1,61.0,46.0,10.0,6.0,13.0,14.5,0.739,10.8,8.3,16.6,12.5,6.5,1.4,6.2,19.5,0.3,0.4,0.7,0.16,-2.0,2.6,0.6,0.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Patrick Baldwin Jr.,2024-25,2TM,SF,22.0,24.0,0.0,0.0,,,,,4.5,2.2,1.0,0.1,0.1,0.1,0.2,0.3,0.543,0.565,0.5,0.729,0.5,1.0,53.0,25.0,3.0,3.0,2.0,16.2,0.721,16.4,4.8,19.7,12.3,4.6,1.3,1.7,12.0,0.1,0.1,0.2,0.098,2.4,-0.9,1.5,0.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Drew Peterson,2024-25,BOS,PF,25.0,25.0,1.0,4.0,,,,,7.4,2.2,1.6,0.5,0.2,0.1,0.3,0.7,0.415,0.394,0.778,0.573,0.5,1.3,54.0,40.0,13.0,5.0,2.0,10.5,0.601,12.5,5.3,18.1,11.7,9.1,1.3,1.0,15.1,0.2,0.3,0.4,0.115,-1.8,1.0,-0.8,0.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
TyTy Washington Jr.,2024-25,PHO,PG,23.0,16.0,0.0,0.0,,,,,7.4,2.2,0.8,1.0,0.2,0.0,0.2,0.3,0.311,0.19,0.5,0.356,0.3,1.3,35.0,13.0,16.0,3.0,0.0,6.5,0.367,19.0,3.9,8.3,6.1,18.5,1.3,0.0,5.9,-0.2,0.0,-0.2,-0.065,-5.6,-2.5,-8.0,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Trevelin Queen,2024-25,ORL,SG,27.0,31.0,2.0,6.5,,,,,13.9,4.9,1.7,1.2,1.0,0.3,0.7,1.2,0.381,0.286,0.857,0.456,0.7,2.5,152.0,54.0,38.0,31.0,10.0,11.9,0.486,18.1,6.6,7.9,7.2,13.3,3.6,2.2,12.3,-0.1,0.8,0.7,0.074,-2.6,2.3,-0.3,0.2,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Patrick Baldwin Jr.,2024-25,WAS,SF,22.0,22.0,0.0,0.0,,,,,4.6,2.1,1.0,0.1,0.1,0.1,0.2,0.2,0.515,0.524,0.5,0.682,0.5,1.0,47.0,22.0,2.0,3.0,2.0,14.5,0.676,16.5,5.1,17.6,11.3,3.0,1.4,1.8,12.6,0.1,0.1,0.1,0.07,1.3,-1.6,-0.2,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Kai Jones,2024-25,2TM,C,24.0,40.0,6.0,15.0,,,,,11.7,5.0,3.1,0.6,0.4,0.6,0.5,1.3,0.798,0.2,0.719,0.803,0.0,0.1,198.0,125.0,25.0,15.0,23.0,20.2,0.804,13.0,9.6,19.7,14.8,7.9,1.6,4.6,12.8,1.4,0.7,2.1,0.216,1.4,1.5,2.9,0.6,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Jabari Walker,2024-25,POR,PF,22.0,60.0,1.0,1.7,,,,,12.5,5.2,3.5,0.6,0.6,0.1,0.6,1.5,0.515,0.389,0.69,0.576,0.5,1.2,313.0,211.0,37.0,33.0,6.0,15.0,0.601,16.3,8.3,22.6,15.3,7.2,2.1,0.7,11.6,1.0,1.0,2.0,0.128,-1.2,0.5,-0.8,0.2,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Jamal Cain,2024-25,NOP,SF,25.0,37.0,0.0,0.0,,,,,13.6,5.3,2.3,0.6,0.6,0.2,0.6,1.2,0.43,0.325,0.68,0.513,0.7,2.2,196.0,85.0,22.0,23.0,9.0,11.4,0.544,17.0,5.6,12.8,9.1,6.2,2.2,1.7,10.9,0.1,0.2,0.4,0.036,-2.5,-0.8,-3.4,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Enrique Freeman,2024-25,IND,PF,24.0,22.0,1.0,4.5,,,,,8.2,2.1,1.4,0.4,0.1,0.1,0.3,1.0,0.432,0.1,0.684,0.446,0.0,0.5,46.0,30.0,9.0,3.0,3.0,7.4,0.507,12.3,6.8,11.6,9.2,6.1,0.8,1.5,11.7,0.0,0.1,0.2,0.046,-4.9,-1.4,-6.3,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Wendell Moore Jr.,2024-25,CHO,SG,23.0,16.0,0.0,0.0,,,,,17.5,5.4,3.2,1.2,0.6,0.1,1.1,1.0,0.474,0.37,0.625,0.539,0.6,1.7,87.0,51.0,19.0,10.0,2.0,10.0,0.547,14.8,7.1,12.4,9.7,10.2,1.8,0.7,18.5,-0.1,0.2,0.1,0.023,-3.2,-1.5,-4.7,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Keaton Wallace,2024-25,ATL,PG,25.0,31.0,5.0,16.1,,,,,16.2,5.4,1.6,2.6,0.9,0.3,1.1,1.3,0.401,0.329,1.0,0.485,0.9,2.6,168.0,50.0,81.0,28.0,9.0,10.1,0.503,16.4,1.5,9.6,5.5,21.0,2.6,1.7,16.5,-0.1,0.5,0.4,0.034,-3.3,1.0,-2.3,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Landry Shamet,2024-25,NYK,SG,27.0,50.0,0.0,0.0,,,,,15.2,5.7,1.2,0.5,0.5,0.0,0.4,1.0,0.461,0.397,0.667,0.596,1.2,3.1,286.0,61.0,27.0,23.0,2.0,9.7,0.601,14.8,1.7,7.5,4.6,4.7,1.5,0.2,8.5,0.5,0.5,1.0,0.065,-1.9,-0.6,-2.4,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Josh Christopher,2024-25,MIA,SG,23.0,14.0,0.0,0.0,,,,,4.9,2.0,0.6,0.6,0.4,0.2,0.4,0.1,0.355,0.182,0.667,0.387,0.1,0.8,28.0,9.0,8.0,5.0,3.0,9.4,0.416,25.5,0.0,14.3,7.2,17.2,3.6,4.2,15.1,-0.2,0.1,-0.1,-0.073,-7.5,-0.4,-7.9,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Quenton Jackson,2024-25,IND,PG,26.0,28.0,7.0,25.0,,,,,13.6,5.8,1.6,1.9,0.8,0.2,0.6,1.5,0.475,0.375,0.775,0.537,0.5,1.4,162.0,44.0,53.0,21.0,5.0,14.7,0.58,17.7,4.1,8.7,6.4,18.6,2.6,1.2,10.3,0.6,0.4,1.0,0.126,-1.2,0.8,-0.3,0.2,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Collin Gillespie,2024-25,PHO,PG,25.0,33.0,9.0,27.3,,,,,14.0,5.9,2.4,2.4,0.6,0.2,0.5,0.9,0.43,0.433,0.864,0.554,1.2,2.7,194.0,78.0,78.0,21.0,5.0,16.8,0.578,17.7,5.5,13.2,9.4,24.0,2.3,1.0,9.2,1.0,0.3,1.3,0.131,2.3,0.2,2.5,0.5,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Cole Swider,2024-25,2TM,SF,25.0,10.0,0.0,0.0,,,,,16.9,5.9,2.7,0.3,0.4,0.2,0.4,1.2,0.349,0.319,0.0,0.468,1.5,4.7,59.0,27.0,3.0,4.0,2.0,6.5,0.465,16.7,3.1,14.3,8.6,2.3,1.1,1.1,5.9,-0.2,0.1,0.0,-0.009,-4.9,-2.4,-7.3,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Isaiah Wong,2024-25,CHO,SG,24.0,20.0,0.0,0.0,,,,,13.3,6.0,1.6,1.4,0.6,0.0,0.9,1.1,0.39,0.394,0.735,0.452,0.7,1.7,120.0,32.0,28.0,11.0,0.0,10.9,0.5,22.1,5.5,7.4,6.4,16.5,2.0,0.0,13.0,-0.1,0.1,0.1,0.01,-2.9,-1.0,-4.0,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Dru Smith,2024-25,MIA,SG,27.0,14.0,1.0,7.1,,,,,19.1,6.2,2.6,1.6,1.5,0.4,1.2,2.1,0.508,0.533,0.75,0.639,1.1,2.1,87.0,36.0,23.0,21.0,6.0,13.3,0.656,13.8,5.0,9.8,7.4,12.0,3.9,2.1,20.4,0.2,0.4,0.7,0.118,-1.3,3.4,2.1,0.3,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Talen Horton-Tucker,2024-25,CHI,SG,24.0,58.0,0.0,0.0,,,,,12.5,6.5,1.7,1.4,0.4,0.2,0.7,1.0,0.457,0.336,0.735,0.527,0.7,2.1,379.0,100.0,83.0,21.0,11.0,13.8,0.567,21.6,2.8,11.5,7.2,16.1,1.4,1.3,10.7,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Vince Williams Jr.,2024-25,MEM,SG,24.0,27.0,5.0,18.5,,,,,18.5,6.6,3.6,2.0,0.4,0.3,1.2,1.7,0.401,0.274,0.792,0.479,1.0,3.5,179.0,98.0,55.0,12.0,7.0,9.2,0.504,17.0,4.7,15.9,10.4,13.8,1.1,1.3,15.7,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Adam Flagler,2024-25,OKC,SG,25.0,37.0,0.0,0.0,,,,,5.5,1.8,0.7,0.3,0.2,0.1,0.1,0.4,0.26,0.194,0.5,0.333,0.4,1.9,65.0,27.0,12.0,8.0,3.0,3.7,0.335,21.1,3.8,10.3,7.1,7.3,1.9,1.5,4.0,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
E.J. Liddell,2024-25,CHI,PF,24.0,12.0,0.0,0.0,,,,,4.4,1.8,0.8,0.3,0.1,0.1,0.2,0.9,0.533,0.3,1.0,0.633,0.3,0.8,21.0,9.0,3.0,1.0,1.0,11.1,0.661,14.1,6.0,11.7,8.9,7.6,0.9,1.6,11.2,0.1,0.0,0.1,0.108,-2.7,-1.4,-4.1,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Marcus Bagley,2024-25,PHI,SF,23.0,10.0,4.0,40.0,,,,,25.3,6.7,7.0,1.0,0.9,1.2,0.7,1.6,0.391,0.156,0.8,0.428,0.5,3.2,67.0,70.0,10.0,9.0,12.0,11.8,0.456,13.8,9.9,21.9,15.7,5.5,1.8,4.7,8.7,0.0,0.2,0.2,0.045,-3.4,-0.9,-4.3,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Orlando Robinson,2024-25,2TM,C,24.0,44.0,8.0,18.2,,,,,17.5,6.9,5.0,1.8,0.4,0.4,1.1,2.3,0.444,0.327,0.771,0.477,0.4,1.2,303.0,220.0,77.0,17.0,16.0,12.9,0.519,18.5,12.1,18.7,15.4,14.0,1.1,2.0,14.4,0.4,0.8,1.2,0.072,-3.0,-0.4,-3.4,-0.3,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Alex Ducas,2024-25,OKC,SG,24.0,21.0,0.0,0.0,,,,,6.0,1.7,1.2,0.2,0.2,0.0,0.2,0.6,0.4,0.476,1.0,0.567,0.5,1.0,36.0,26.0,5.0,5.0,0.0,10.1,0.583,11.8,7.9,14.3,11.2,4.8,1.9,0.0,11.5,0.1,0.2,0.3,0.125,-2.1,0.1,-2.0,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
PJ Hall,2024-25,DEN,C,22.0,19.0,0.0,0.0,,,,,3.5,1.7,1.2,0.2,0.0,0.2,0.1,0.6,0.583,0.25,0.75,0.625,0.1,0.4,33.0,22.0,4.0,0.0,4.0,18.3,0.641,17.8,10.5,25.4,18.3,8.4,0.0,5.4,7.2,0.2,0.1,0.2,0.168,-0.7,-0.6,-1.3,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Tristan Thompson,2024-25,CLE,C,33.0,40.0,0.0,0.0,,,,,8.2,1.7,3.4,0.6,0.1,0.3,0.4,0.9,0.437,0.0,0.233,0.437,0.0,0.1,69.0,134.0,24.0,2.0,11.0,9.1,0.41,12.7,10.9,32.7,22.1,8.8,0.3,3.0,14.3,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Jeff Dowtin Jr.,2024-25,PHI,PG,27.0,41.0,3.0,7.3,,,,,15.1,7.0,1.5,1.9,0.6,0.3,0.4,0.7,0.487,0.4,0.733,0.548,0.7,1.7,285.0,60.0,78.0,24.0,12.0,16.1,0.57,18.6,2.1,9.1,5.5,19.6,1.9,1.9,5.7,1.1,0.3,1.3,0.103,0.7,-0.5,0.2,0.3,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Sam Merrill,2024-25,CLE,SG,28.0,71.0,4.0,5.6,,,,,19.7,7.2,2.2,1.5,0.7,0.2,0.5,1.7,0.406,0.372,0.966,0.567,1.9,5.2,509.0,157.0,108.0,53.0,14.0,11.1,0.583,14.3,3.0,8.9,6.1,9.6,1.8,0.9,7.4,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Yuki Kawamura,2024-25,MEM,PG,23.0,22.0,0.0,0.0,,,,,4.2,1.6,0.5,0.9,0.1,0.0,0.2,0.4,0.367,0.304,0.778,0.483,0.3,1.0,36.0,12.0,19.0,2.0,0.0,11.0,0.53,16.9,0.0,13.5,6.8,25.1,1.0,0.0,12.8,0.1,0.1,0.2,0.095,-2.6,-0.2,-2.8,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
GG Jackson II,2024-25,MEM,PF,20.0,29.0,3.0,10.3,,,,,15.8,7.2,3.2,1.0,0.4,0.2,1.1,1.0,0.372,0.337,0.725,0.452,1.1,3.3,209.0,92.0,29.0,12.0,5.0,9.3,0.482,21.7,6.3,14.8,10.6,8.2,1.2,1.0,12.5,-0.4,0.4,0.1,0.009,-3.3,-2.0,-5.3,-0.4,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Ricky Council IV,2024-25,PHI,SF,23.0,73.0,12.0,16.4,,,,,17.1,7.3,2.9,1.3,0.4,0.2,0.7,0.9,0.382,0.258,0.804,0.442,0.8,2.9,532.0,214.0,97.0,32.0,13.0,11.6,0.502,20.3,4.4,15.4,9.7,11.4,1.3,1.0,8.9,0.1,0.5,0.6,0.023,-2.0,-2.3,-4.3,-0.7,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Jazian Gortman,2024-25,DAL,PG,21.0,16.0,0.0,0.0,,,,,3.6,1.5,0.3,0.4,0.1,0.1,0.3,0.6,0.391,0.364,0.5,0.478,0.3,0.7,24.0,5.0,6.0,2.0,1.0,6.5,0.485,22.4,2.0,7.5,4.8,14.7,1.7,1.5,16.8,-0.1,0.0,-0.1,-0.056,-5.5,-0.8,-6.3,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Damion Baugh,2024-25,CHO,SG,24.0,15.0,2.0,13.3,,,,,24.7,7.3,3.3,3.7,1.0,0.1,2.1,1.5,0.323,0.214,0.867,0.369,0.8,3.7,109.0,50.0,56.0,15.0,2.0,6.3,0.399,19.3,3.9,10.6,7.2,22.2,2.0,0.5,18.5,-0.8,0.2,-0.5,-0.069,-5.9,-1.2,-7.1,-0.5,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Matt Ryan,2024-25,NYK,SF,27.0,19.0,0.0,0.0,,,,,3.6,1.5,0.4,0.2,0.1,0.0,0.2,0.1,0.323,0.316,1.0,0.419,0.3,1.0,28.0,8.0,3.0,2.0,0.0,6.1,0.439,22.3,0.0,13.4,6.8,5.9,1.5,0.0,8.6,-0.1,0.1,-0.1,-0.057,-5.1,-2.3,-7.5,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
A.J. Green,2024-25,MIL,SG,25.0,73.0,7.0,9.6,,,,,22.7,7.4,2.4,1.5,0.5,0.1,0.5,2.2,0.429,0.427,0.815,0.612,2.1,5.0,541.0,174.0,108.0,37.0,7.0,9.2,0.621,12.6,1.2,9.8,5.7,8.5,1.1,0.4,8.4,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Oscar Tshiebwe,2024-25,UTA,C,25.0,14.0,1.0,7.1,,,,,18.2,7.6,8.7,0.6,0.9,0.1,0.7,1.7,0.6,,0.742,0.6,0.0,0.0,107.0,122.0,9.0,13.0,1.0,21.0,0.64,15.3,19.6,31.9,25.8,5.3,2.4,0.4,10.7,0.7,0.3,1.0,0.182,0.6,-2.0,-1.4,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Jacob Toppin,2024-25,2TM,SF,24.0,17.0,0.0,0.0,,,,,4.5,1.4,0.9,0.4,0.1,0.0,0.2,0.2,0.409,0.5,,0.523,0.3,0.6,23.0,15.0,6.0,2.0,0.0,9.2,0.523,13.9,4.5,17.9,11.2,10.2,1.3,0.0,12.0,0.0,0.1,0.0,0.03,-1.8,-0.8,-2.6,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
KJ Simpson,2024-25,CHO,PG,22.0,36.0,15.0,41.7,,,,,23.4,7.8,3.0,3.1,0.9,0.2,1.6,1.6,0.346,0.254,0.82,0.4,0.9,3.6,282.0,109.0,112.0,34.0,6.0,8.3,0.437,19.1,4.8,9.0,6.9,19.8,2.0,0.7,14.8,-1.0,0.5,-0.4,-0.025,-4.5,-0.9,-5.4,-0.7,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Orlando Robinson,2024-25,TOR,C,24.0,35.0,8.0,22.9,,,,,20.4,8.1,5.9,1.9,0.4,0.4,1.3,2.7,0.447,0.34,0.794,0.48,0.5,1.3,284.0,206.0,68.0,14.0,15.0,12.9,0.523,18.6,12.6,18.5,15.5,13.5,0.9,2.0,14.2,0.4,0.7,1.1,0.074,-2.9,-0.5,-3.5,-0.3,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Jaime Jaquez Jr.,2024-25,MIA,SF,23.0,66.0,17.0,25.8,,,,,20.7,8.6,4.4,2.5,0.9,0.2,1.5,1.2,0.461,0.311,0.754,0.501,0.6,1.8,570.0,290.0,166.0,61.0,14.0,14.3,0.543,20.2,6.8,16.5,11.7,17.9,2.2,1.0,15.7,0.5,1.8,2.3,0.081,-1.4,0.5,-0.9,0.4,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Trey Alexander,2024-25,DEN,SG,21.0,24.0,0.0,0.0,,,,,4.9,1.3,0.5,0.5,0.1,0.0,0.2,0.4,0.317,0.176,0.75,0.354,0.1,0.7,32.0,12.0,11.0,2.0,1.0,2.9,0.374,17.3,1.0,9.8,5.6,11.4,0.8,0.8,10.5,-0.2,0.0,-0.2,-0.077,-7.9,-1.8,-9.7,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Spencer Jones,2024-25,DEN,SF,23.0,20.0,0.0,0.0,,,,,6.3,1.3,0.9,0.3,0.3,0.3,0.3,0.9,0.324,0.059,1.0,0.338,0.1,0.9,26.0,17.0,5.0,5.0,5.0,4.5,0.368,13.7,7.4,7.5,7.5,4.7,1.9,3.6,12.4,-0.2,0.1,-0.1,-0.031,-7.7,-0.8,-8.5,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Dereck Lively II,2024-25,DAL,C,20.0,36.0,29.0,80.6,,,,,23.1,8.7,7.5,2.4,0.6,1.6,1.1,2.8,0.702,,0.63,0.702,0.0,0.0,314.0,270.0,85.0,20.0,56.0,20.1,0.704,13.6,13.9,21.3,17.7,14.3,1.2,5.7,15.5,2.4,1.0,3.4,0.199,1.1,2.2,3.3,1.1,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Bryce McGowens,2024-25,POR,SG,22.0,13.0,0.0,0.0,,,,,2.5,1.0,0.2,0.2,0.1,0.0,0.3,0.2,0.286,0.0,0.833,0.286,0.0,0.3,13.0,3.0,2.0,1.0,0.0,1.7,0.391,26.8,6.6,3.5,5.1,8.7,1.5,0.0,19.4,-0.1,0.0,-0.1,-0.172,-9.9,-3.8,-13.6,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Xavier Tillman Sr.,2024-25,BOS,C,26.0,33.0,2.0,6.1,,,,,7.0,1.0,1.3,0.2,0.3,0.2,0.4,0.5,0.245,0.156,0.75,0.292,0.2,1.0,34.0,43.0,7.0,11.0,5.0,2.4,0.31,13.1,4.7,15.5,10.1,3.8,2.4,2.0,20.4,-0.7,0.4,-0.3,-0.057,-8.4,0.3,-8.1,-0.4,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Luke Travers,2024-25,CLE,SG,23.0,12.0,0.0,0.0,,,,,7.3,1.0,1.7,0.7,0.1,0.1,0.7,0.5,0.25,0.0,1.0,0.25,0.0,0.8,12.0,20.0,8.0,1.0,1.0,1.9,0.287,13.9,10.1,14.4,12.3,10.5,0.5,1.0,27.7,-0.2,0.1,-0.1,-0.082,-7.8,-1.9,-9.7,-0.2,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
Isaiah Crawford,2024-25,SAC,SF,23.0,15.0,0.0,0.0,,,,,3.1,0.9,0.5,0.1,0.1,0.1,0.1,0.1,0.455,0.2,0.5,0.5,0.1,0.3,13.0,8.0,1.0,1.0,2.0,9.2,0.509,12.9,2.4,17.1,9.7,2.8,1.1,4.3,7.3,0.0,0.0,0.0,0.037,-3.4,-0.7,-4.1,0.0,,,,Other,Bench Player (<10 PPG),Average (0-2 VORP),0,0,0,0,2024
Justin Minaya,2024-25,POR,SF,25.0,19.0,0.0,0.0,,,,,5.3,0.9,0.5,0.4,0.3,0.1,0.3,0.6,0.381,0.2,0.0,0.429,0.1,0.5,18.0,10.0,7.0,6.0,1.0,5.0,0.411,11.1,5.2,5.5,5.4,9.1,2.9,0.9,18.6,-0.1,0.1,0.0,-0.007,-7.1,1.7,-5.4,-0.1,,,,Other,Bench Player (<10 PPG),Below Average (<0 VORP),0,0,0,0,2024
