player_name,season,team,position,age,games_played,games_started,games_started_percentage,awards,salary,salary_formatted,salary_rank,mpg,ppg,rpg,apg,spg,bpg,tov_pg,pf_pg,fg_pct,three_pt_pct,ft_pct,efg_pct,three_pm_pg,three_pa_pg,total_points,total_rebounds,total_assists,total_steals,total_blocks,PER,TS_pct,usage_pct,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,points_per_million,salary_per_win_share,salary_per_vorp,salary_tier,scoring_tier,impact_tier,is_mvp_candidate,is_allstar,is_all_nba_first,is_dpoy_candidate,season_year
Jimmy Butler,2024-25,GSW,SF,35.0,30.0,30.0,100.0,,48798677.0,"$48,798,677",11.0,32.7,17.9,5.5,5.9,1.7,0.3,1.5,1.0,0.476,0.279,0.87,0.504,0.6,2.3,538.0,165.0,178.0,50.0,8.0,22.2,0.617,20.6,7.5,10.7,9.1,26.5,2.5,0.8,9.2,3.7,1.2,4.9,0.242,3.8,1.2,5.0,1.7,0.37,9958914.0,28705104.0,Top 30 (Max),Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
Jimmy Butler,2024-25,2TM,SF,35.0,55.0,55.0,100.0,,48798677.0,"$48,798,677",11.0,31.7,17.5,5.4,5.4,1.4,0.3,1.3,0.9,0.504,0.308,0.842,0.531,0.6,1.9,964.0,296.0,298.0,77.0,18.0,22.4,0.626,20.8,7.7,10.8,9.2,25.5,2.2,1.0,8.8,6.6,2.0,8.7,0.238,4.0,1.0,4.9,3.0,0.36,5609043.0,16266226.0,Top 30 (Max),Starter (15-20 PPG),Above Average (2-4 VORP),0,0,0,0,2024
Jimmy Butler,2024-25,MIA,PF,35.0,25.0,25.0,100.0,,48798677.0,"$48,798,677",11.0,30.6,17.0,5.2,4.8,1.1,0.4,1.2,0.9,0.54,0.361,0.801,0.565,0.5,1.4,426.0,131.0,120.0,27.0,10.0,22.8,0.638,21.1,8.0,10.9,9.4,24.2,1.8,1.3,8.2,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3,0.35,13188832.0,37537444.0,Top 30 (Max),Starter (15-20 PPG),Average (0-2 VORP),0,0,0,0,2024
Damian Lillard,2024-25,MIL,PG,34.0,58.0,58.0,100.0,AS,48787676.0,"$48,787,676",12.0,36.1,24.9,4.7,7.1,1.2,0.2,2.8,1.7,0.448,0.376,0.921,0.547,3.4,9.0,1447.0,272.0,410.0,70.0,10.0,21.3,0.621,27.8,1.6,12.1,7.1,29.7,1.6,0.4,12.2,5.6,2.0,7.6,0.175,4.7,-0.6,4.0,3.2,0.51,6419431.0,15246149.0,Top 30 (Max),All-Star (20-25 PPG),Above Average (2-4 VORP),0,1,0,0,2024
Giannis Antetokounmpo,2024-25,MIL,PF,30.0,67.0,67.0,100.0,"MVP-3,DPOY-8,AS,NBA1",48787676.0,"$48,787,676",12.0,34.2,30.4,11.9,6.5,0.9,1.2,3.1,2.3,0.601,0.222,0.617,0.607,0.2,0.9,2036.0,798.0,433.0,58.0,78.0,30.5,0.625,35.2,7.3,29.7,19.0,36.0,1.2,3.2,11.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,0.62,4242407.0,7392072.0,Top 30 (Max),Elite Scorer (25+ PPG),Superstar (6+ VORP),1,1,1,1,2024
LeBron James,2024-25,LAL,SF,40.0,70.0,70.0,100.0,"MVP-6,CPOY-7,AS,NBA2",48728845.0,"$48,728,845",14.0,34.9,24.4,7.8,8.2,1.0,0.6,3.7,1.4,0.513,0.376,0.782,0.571,2.1,5.7,1710.0,546.0,575.0,70.0,39.0,22.7,0.604,30.1,3.4,21.2,12.6,40.3,1.4,1.5,15.5,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,0.5,6328421.0,10367839.0,Top 30 (Max),All-Star (20-25 PPG),Star (4-6 VORP),1,1,0,0,2024
Zach LaVine,2024-25,2TM,SG,29.0,74.0,74.0,100.0,,44531940.0,"$44,531,940",15.0,35.2,23.3,4.3,4.2,0.8,0.2,2.8,1.6,0.511,0.446,0.825,0.609,3.2,7.2,1724.0,315.0,310.0,58.0,12.0,17.3,0.639,25.3,0.9,12.0,6.5,18.3,1.1,0.4,13.4,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8,0.52,8731753.0,24739967.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Zach LaVine,2024-25,SAC,SG,29.0,32.0,32.0,100.0,,44531940.0,"$44,531,940",15.0,36.6,22.4,3.5,3.8,0.6,0.1,2.7,1.8,0.511,0.446,0.874,0.611,3.2,7.2,717.0,113.0,121.0,19.0,2.0,15.9,0.642,23.7,1.0,9.9,5.4,15.6,0.8,0.2,13.5,1.7,0.4,2.1,0.086,1.8,-2.3,-0.4,0.5,0.5,21205686.0,89063880.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Zach LaVine,2024-25,CHI,SF,29.0,42.0,42.0,100.0,,44531940.0,"$44,531,940",15.0,34.1,24.0,4.8,4.5,0.9,0.2,2.9,1.5,0.511,0.446,0.797,0.607,3.2,7.3,1007.0,202.0,189.0,39.0,10.0,18.4,0.637,26.6,0.9,13.7,7.4,20.5,1.3,0.6,13.3,2.0,1.0,3.0,0.101,2.7,-1.0,1.6,1.3,0.54,14843980.0,34255338.0,Top 30 (Max),All-Star (20-25 PPG),Average (0-2 VORP),0,0,0,0,2024
Rudy Gobert,2024-25,MIN,C,32.0,72.0,72.0,100.0,"DPOY-13,DEF2",43827586.0,"$43,827,586",16.0,33.2,12.0,10.9,1.8,0.8,1.4,1.2,2.5,0.669,,0.674,0.669,0.0,0.0,866.0,785.0,127.0,56.0,104.0,18.3,0.687,13.0,12.5,23.8,18.2,7.5,1.2,4.1,12.4,6.1,4.0,10.1,0.204,0.6,1.3,1.9,2.4,0.27,4339365.0,18261494.0,Top 30 (Max),Role Player (10-15 PPG),Above Average (2-4 VORP),0,0,0,1,2024
