player_name,current_season,current_team,current_age,current_salary,current_salary_formatted,current_salary_rank,current_games,current_ppg,current_rpg,current_apg,current_PER,current_TS_pct,current_WS,current_VORP,current_BPM,previous_season,previous_team,previous_salary,previous_salary_rank,previous_games,previous_ppg,previous_rpg,previous_apg,previous_PER,previous_TS_pct,previous_WS,previous_VORP,previous_BPM,salary_change,salary_change_pct,ppg_change,rpg_change,apg_change,vorp_change,ws_change,performance_trend,impact_trend,season_year
Christian Braun,2024-25,DEN,23.0,3089640.0,"$3,089,640",313.0,79.0,15.4,5.2,2.6,16.0,0.665,8.0,1.6,0.3,2023-24,DEN,2949120.0,325.0,82.0,7.3,3.7,1.6,12.1,0.554,3.4,0.0,-1.9,140520.0,4.8,8.1,1.5,1.0,1.6,4.6,Significantly Improved,Breakout,2024
Deni Avdija,2024-25,POR,24.0,15625000.0,"$15,625,000",108.0,72.0,16.9,7.3,3.9,17.7,0.605,5.6,2.2,2.1,2023-24,WAS,6263188.0,217.0,75.0,14.7,7.2,3.8,14.9,0.597,3.2,0.6,-0.9,9361812.0,149.5,2.2,0.1,0.1,1.6,2.4,Significantly Improved,Breakout,2024
Tari Eason,2024-25,HOU,23.0,3695160.0,"$3,695,160",280.0,57.0,12.0,6.4,1.5,18.5,0.567,5.0,2.0,3.6,2023-24,HOU,3527160.0,289.0,22.0,9.8,7.0,1.2,17.1,0.528,1.3,0.4,1.6,168000.0,4.8,2.2,-0.6,0.3,1.6,3.7,Significantly Improved,Breakout,2024
Scoot Henderson,2024-25,POR,20.0,10259449.0,"$10,259,449",160.0,66.0,12.7,3.0,5.1,12.5,0.54,1.8,-0.1,-2.2,2023-24,POR,9770904.0,163.0,62.0,14.0,3.1,5.4,9.5,0.489,-1.7,-1.7,-5.8,488545.0,5.0,-1.3,-0.1,-0.3,1.6,3.5,Declined,Breakout,2024
Ochai Agbaji,2024-25,TOR,24.0,4310280.0,"$4,310,280",262.0,64.0,10.4,3.8,1.5,12.0,0.601,3.1,0.5,-0.7,2023-24,2TM,4114200.0,268.0,78.0,5.8,2.8,1.1,7.7,0.497,0.1,-1.0,-4.4,196080.0,4.8,4.6,1.0,0.4,1.5,3.0,Significantly Improved,Breakout,2024
Santi Aldama,2024-25,MEM,24.0,,,,65.0,12.5,6.4,2.9,16.8,0.588,5.0,2.2,3.2,2023-24,MEM,,,61.0,10.7,5.8,2.3,13.1,0.539,2.4,0.7,-0.2,,,1.8,0.6,0.6,1.5,2.6,Improved,Breakout,2024
Malik Beasley,2024-25,DET,28.0,6000000.0,"$6,000,000",223.0,82.0,16.3,2.6,1.7,14.4,0.59,4.7,1.6,0.8,2023-24,MIL,2709849.0,340.0,79.0,11.3,3.7,1.4,10.3,0.603,3.5,0.1,-1.8,3290151.0,121.4,5.0,-1.1,0.3,1.5,1.2,Significantly Improved,Breakout,2024
Miles Bridges,2024-25,CHO,26.0,27173913.0,"$27,173,913",59.0,64.0,20.3,7.5,3.9,17.7,0.541,3.2,2.0,1.8,2023-24,CHO,7921300.0,189.0,69.0,21.0,7.3,3.3,15.4,0.556,2.2,0.6,-1.1,19252613.0,243.0,-0.7,0.2,0.6,1.4,1.0,Declined,Breakout,2024
OG Anunoby,2024-25,NYK,27.0,36637932.0,"$36,637,932",31.0,74.0,18.0,4.8,2.2,15.4,0.591,6.5,1.9,0.7,2023-24,NYK,18642857.0,84.0,23.0,14.1,4.4,1.5,13.0,0.591,1.6,0.5,0.6,17995075.0,96.5,3.9,0.4,0.7,1.4,4.9,Significantly Improved,Breakout,2024
Malaki Branham,2024-25,SAS,21.0,3217920.0,"$3,217,920",309.0,47.0,5.0,1.1,0.8,12.0,0.575,0.1,-0.1,-3.2,2023-24,SAS,3071880.0,318.0,75.0,9.2,2.0,2.1,8.7,0.526,-0.3,-1.5,-5.6,146040.0,4.8,-4.2,-0.9,-1.3,1.4,0.4,Significantly Declined,Breakout,2024
Quentin Grimes,2024-25,2TM,24.0,4296682.0,"$4,296,682",264.0,75.0,14.6,4.3,3.0,15.9,0.595,3.4,1.2,0.4,2023-24,DET,2385720.0,371.0,6.0,5.3,2.0,2.3,3.9,0.342,-0.3,-0.2,-8.1,1910962.0,80.1,9.3,2.3,0.7,1.4,3.7,Significantly Improved,Breakout,2024
